"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Cd19",5.886293765678e-29,1.49387273296111,0.903,0.31,9.59289294992544e-25
"Cd79a",2.58134133298094e-26,1.42227982181785,0.935,0.563,4.20681197035904e-22
"Igfbp2",4.67431066246986e-26,-2.077436360949,0.839,0.972,7.61772408662713e-22
"Inmt",6.28576068394933e-26,-2.04945372438206,0.839,0.968,1.02439041866322e-21
"Ighm",7.58146790341779e-26,2.19008476360033,1,0.981,1.23555182422e-21
"H2-DMb2",1.76074604606171e-25,1.39069873125882,1,0.959,2.86948783126677e-21
"H2-Ob",2.51112653629644e-25,1.38932234047819,1,0.622,4.0923829162023e-21
"Cd37",5.01624355964084e-25,1.3362698539679,1,0.676,8.17497212914667e-21
"Cd52",5.63357954404081e-25,1.17619088808151,1,0.925,9.1810445829233e-21
"Tns1",1.03068528930593e-24,-1.5737043230049,0.903,0.996,1.67970781598187e-20
"Cldn5",4.25773282568036e-23,-1.91162994517209,0.742,0.971,6.93882718601128e-19
"Timp3",5.70786046443807e-22,-1.2922240383941,1,0.997,9.30210019889473e-18
"Cd79b",1.19941015117811e-20,1.24360818333026,1,0.462,1.95467872337497e-16
"Ighd",1.25861746949476e-18,1.07467868266112,0.968,0.343,2.05116889003561e-14
"Ager",1.7359214210442e-18,-1.12450945960011,0.968,0.996,2.82903113987573e-14
"Clic5",8.27601490737476e-18,-1.17808553713589,1,0.995,1.34874214945487e-13
"Fmo2",9.53097313379534e-18,-1.59981599343487,0.677,0.961,1.55326269161463e-13
"Epas1",1.28845373592274e-17,-1.41140127922244,0.871,0.982,2.0997930534333e-13
"Spock2",2.00023272688119e-17,-1.74293051356366,0.516,0.937,3.25977927499828e-13
"Ptprc",3.45625712634335e-17,0.812678729260215,1,0.971,5.63266223880175e-13
"Ighj1",8.60127473708937e-17,1.7208272081729,1,0.948,1.40174974390345e-12
"Pakap.1",4.40396551682723e-16,-1.21280316558639,0.968,0.99,7.17714260277334e-12
"Mfap4",5.88599658351915e-16,-1.47218861148173,0.839,0.962,9.59240863216115e-12
"H2-Ab1",1.0627747050502e-15,0.859345409497404,1,0.997,1.73200393682031e-11
"Pou2af1",3.60872262443586e-15,1.27861211485976,0.968,0.538,5.88113526104313e-11
"Sept1",3.86025100361106e-15,0.904089725009711,0.968,0.439,6.29105106058495e-11
"App",4.74598623537066e-15,-0.717604519886627,1,1,7.73453376778357e-11
"Eng",8.07111718886794e-15,-1.35252885242884,0.645,0.965,1.31534996826981e-10
"Sptbn1",1.0709880376227e-14,-1.18768492412651,0.839,0.986,1.74538920491371e-10
"Cavin2",1.09683546123235e-14,-1.65279116052952,0.484,0.911,1.78751275117036e-10
"Ppp1r14a",1.22174436007053e-14,-1.41957393085675,0.71,0.948,1.99107678360694e-10
"Acer2",3.66396331573177e-14,-1.29949312332075,0.806,0.971,5.97116101564807e-10
"Pcolce2",4.28915147202058e-14,-1.63213627576364,0.387,0.892,6.99003015395194e-10
"Gsn",7.89421366105299e-14,-1.24695542447804,0.742,0.967,1.28652000034181e-09
"Rack1",2.16394596988272e-13,0.525146797726102,1,1,3.52658274711786e-09
"Ace",3.66581747946346e-13,-1.48702710237353,0.419,0.897,5.97418274628161e-09
"Cryab",4.05599463034167e-13,-1.09365001188705,0.903,0.989,6.61005444906782e-09
"Egfl7",4.84778262574935e-13,-1.2928298819117,0.645,0.954,7.90043134518371e-09
