"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Tmem132e",9.0598469250437e-86,0.385061606775961,0.308,0.001,1.47648325337437e-81
"Slc1a2",1.81731951306782e-10,0.47103573486462,0.462,0.054,2.96168561044662e-06
"Timd4",3.64940587763999e-10,0.615256423034756,0.615,0.096,5.9474367587899e-06
"Sytl4",2.70499695492125e-09,0.408630077914366,0.385,0.043,4.40833353743516e-05
"Fcho1",3.27671891221846e-09,0.570934092049461,0.692,0.128,5.34006881124242e-05
"Il12b",4.32783696274846e-09,0.456834042637324,0.462,0.061,7.05307589819116e-05
"6030468B19Rik",8.46584220586905e-09,0.345109481375853,0.308,0.029,0.000137967830429048
"Afmid",3.00494485374954e-08,0.400498673109913,0.385,0.048,0.000489715862815562
"Rhoh",4.55082221468738e-08,0.396761119100099,0.385,0.049,0.000741647496327603
"Gpr132",6.61705049487951e-08,0.596529828050187,0.692,0.149,0.00107838071915051
"Vegfa",1.04844799825286e-07,-1.90285281956491,0.462,0.966,0.00170865570275268
"Lat",1.14434084312695e-07,0.700042961896837,0.846,0.234,0.00186493227204399
"Mcm5",1.24382968126315e-07,0.656588954634529,0.769,0.194,0.00202706923155455
"Adora2a",2.3438989663269e-07,0.43851773600172,0.462,0.075,0.00381985214542294
"Cipc",2.79139919843976e-07,0.333714726775741,0.308,0.036,0.00454914327369728
"Fam167b",3.66080542763996e-07,0.434277184854502,0.462,0.077,0.00596601460542485
"Epas1",3.69348539097663e-07,-1.65328562299196,0.769,0.981,0.00601927314167461
"Derl3",4.43042018008316e-07,0.429446054208878,0.462,0.078,0.00722025576748153
"Tns3",4.90649827380225e-07,0.985149340901963,1,0.623,0.00799612023681553
"Klrb1f",6.1635872929179e-07,0.330565423973337,0.308,0.038,0.0100447982112683
"Srgap3",1.01538545212663e-06,0.330565423973337,0.308,0.039,0.0165477367133077
"Pcolce2",1.05084255367992e-06,-1.76656745581358,0.385,0.888,0.0171255810973217
"Mgat4a",1.09949109634462e-06,0.622579261517255,0.692,0.182,0.0179184063971283
"Hgfac",1.92972102676558e-06,0.379446097222933,0.385,0.061,0.0314486635731987
"Gpx3",2.0627384600076e-06,-1.35080368718377,0.846,0.979,0.0336164486827438
"Ndufaf6",2.10811676685515e-06,0.454991912094355,0.385,0.063,0.0343559789494384
"Pus7",2.31717510683392e-06,0.327422980908017,0.308,0.041,0.0377630027160724
"Aqp1",2.78602788586741e-06,-1.52644792037402,0.692,0.943,0.0454038964559811
"Ly6k",3.06228712250531e-06,0.552293870446686,0.462,0.092,0.049906093235469
"Igfbp2",3.35860406898688e-06,-1.81427492984733,0.769,0.971,0.0547351705122792
"Mfap4",3.44318915661675e-06,-1.5407435462846,0.769,0.961,0.0561136536853832
"Tns1",3.92054708040509e-06,-1.25408109350418,1,0.995,0.0638931557693618
"Podnl1",3.94788157795946e-06,0.589278687507509,0.615,0.158,0.0643386260760054
"Ccl22",4.28561205752931e-06,0.544002496815295,0.769,0.22,0.0698426197015551
"Cdc42bpg",4.38010978454926e-06,-1.36762330711099,0.385,0.875,0.0713826491587993
"Slc9a3r2",4.65830712722424e-06,-1.37523649122087,0.692,0.948,0.0759164312523735
"Slc28a2",4.96748050321425e-06,0.448440736138668,0.538,0.119,0.0809550297608826
"Inmt",5.32490764381401e-06,-1.71345576885284,0.846,0.966,0.0867800198712369
"Trbc1",5.67324273814936e-06,0.635904066384332,0.769,0.247,0.0924568369036202
"Ptprcap",5.69968367219964e-06,0.860772577481491,0.846,0.362,0.0928877448058375
"Mustn1",6.50608114241007e-06,0.322409265902358,0.308,0.044,0.106029604377857
"Fhl1",6.57274564574329e-06,-1.35227534277756,0.308,0.865,0.107116035788678
"Xcl1",6.69754749963156e-06,0.41266337174844,0.462,0.093,0.109149931601496
"Aif1",6.8120533750426e-06,0.98947647016329,1,0.681,0.111016033853069
"C3",7.28820752942964e-06,0.795384597808261,1,0.997,0.118775918107115
"Ager",7.46703231727923e-06,-1.11288392552961,1,0.996,0.1216902256747
"Egfl7",8.2136346838915e-06,-1.31508991885722,0.692,0.951,0.13385760444338
"Krtap17-1",8.24625735368359e-06,0.445816377407588,0.385,0.069,0.134389256092982
"Cldn5",8.40448902763541e-06,-1.5095123035771,0.923,0.968,0.136967957683374
"Acsbg1",1.16420846433675e-05,0.367813865406315,0.385,0.069,0.189731053432961
"Slfn1",1.21367379427456e-05,0.369644309772256,0.385,0.07,0.197792418252926
"Hmmr",1.24086514439353e-05,0.407903961111511,0.462,0.097,0.202223792581814
"Strip2",1.24567533755436e-05,0.496944450100002,0.538,0.129,0.203007709761234
"Ppp1r14a",1.30620184090486e-05,-1.33274109970231,0.846,0.945,0.212871714012266
"Ppargc1a",1.31337133755673e-05,0.316166525564894,0.308,0.047,0.214040126881621
"F10",1.33409652019272e-05,0.466811149002895,0.692,0.191,0.217417709895807
"Birc3",1.44378621847081e-05,0.79275230639688,0.846,0.356,0.235293840024188
"Tent5c",1.50015871893628e-05,0.822487337805665,0.846,0.35,0.244480866425045
