"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Gsn",2.12929598537741e-08,0.250145235639102,0.988,0.959,0.000347011366736957
"Clec3b",1.24307608209811e-06,0.340943536028238,0.958,0.922,0.020258410909953
"Col3a1",3.72631700387422e-06,0.271788644542872,0.994,0.989,0.0607277882121382
"Ighg2b",0.000303894322702256,-0.353500920118583,0.427,0.522,1
"Iglc1",0.000344462062458187,-0.395047865611645,0.615,0.662,1
"Cbr2",0.000368834058186574,0.338372268380332,0.885,0.821,1
"Ighj1",0.00331522317332096,-0.393320552356858,0.939,0.951,1
"Slpi",0.00340775418460783,-0.309820304501163,0.939,0.96,1
"Jchain",0.00767322674287745,-0.371916438127806,0.991,0.981,1
"Cyp2f2",0.0183657736981575,0.396994345203482,0.997,0.98,1
"Igha",0.0896435132233129,-0.29275588798452,1,1,1
"Ighj4",0.120782431228193,-0.294686630545359,0.927,0.901,1
"Ighm",0.147633411443342,-0.2978797233924,0.988,0.98,1
"Tnnc1",0.18057664111902,-0.276172417717452,0.218,0.251,1
"Igkc",0.197903452094271,-0.265778944798029,1,1,1
"Ankrd1",0.24014997095636,-0.323304675221834,0.676,0.712,1
"Myl4",0.286741290721646,-0.454611122301407,0.809,0.761,1
"Ckm",0.340745896641589,-0.263636550271252,0.276,0.303,1
"Tcap",0.371475417771986,-0.259498513508472,0.482,0.435,1
"Myh6",0.694405408683579,-0.428721288206676,0.642,0.653,1
