"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Ccdc162",3.96335741828528e-11,1.74807560712295,0.909,0.227,6.45908358457952e-07
"Ak9",4.2928475617807e-11,1.10411877941851,0.727,0.122,6.99605367143401e-07
"Cerkl",4.77899466533824e-11,0.476011786996834,0.455,0.043,7.78832760610172e-07
"Fank1",5.28001436823966e-11,1.05886016685079,0.727,0.113,8.60483941592018e-07
"Cfap206",6.03918635076129e-11,0.966208002302172,0.545,0.067,9.84206199583567e-07
"Mst1",6.15024736246243e-11,0.323937257091128,0.273,0.016,1.0023058126605e-06
"Crocc2",6.96990056976067e-11,0.405582771746153,0.364,0.028,1.1358846958539e-06
"Rsph10b",8.98134159124125e-11,1.56097645439198,0.909,0.256,1.46368923912459e-06
"Fam47e",1.19885324417095e-10,0.476637006959334,0.455,0.044,1.9537711320254e-06
"Bpifb1",1.65458042960889e-10,1.86164569606703,0.909,0.222,2.69646972613361e-06
"Cdhr4",1.76092848255359e-10,1.47149123763049,0.818,0.173,2.86978514801758e-06
"Ankub1",2.00399296347783e-10,0.323937257091128,0.273,0.017,3.26590733257981e-06
"Wdr95",2.00399296347783e-10,0.323937257091128,0.273,0.017,3.26590733257981e-06
"Nek5",2.08641436797214e-10,0.32265200529932,0.273,0.017,3.40022949548419e-06
"Gfra1",2.78752324723459e-10,0.404313352358588,0.364,0.03,4.54282663601821e-06
"Arl6",3.37444820040666e-10,0.829476770939069,0.545,0.072,5.49933823220273e-06
"Dmrt2",3.53478183388234e-10,0.323294488071412,0.273,0.017,5.76063395467805e-06
"Efhb",3.60496445026166e-10,0.32265200529932,0.273,0.017,5.87501056459142e-06
"Trpm2",4.18612248058798e-10,0.653788119634556,0.636,0.091,6.82212380661422e-06
"Iqca",4.29529260768556e-10,0.786111895124331,0.455,0.049,7.00003836274516e-06
"Oscp1",4.85232952684938e-10,0.471642817494718,0.455,0.047,7.90784142990643e-06
"Mlf1",5.37568463308266e-10,0.469152190996313,0.455,0.047,8.76075324653482e-06
"Ccdc187",5.95626671446235e-10,1.08892563153283,0.818,0.162,9.70692786455929e-06
"Dnali1",6.47670450110019e-10,1.4618231036314,0.818,0.179,1.0555085325443e-05
"Lrrc10b",6.61164223179372e-10,0.607692953299008,0.545,0.069,1.07749933451542e-05
"Lrrc56",7.56139470419019e-10,0.575190313611678,0.636,0.091,1.23228049494187e-05
