"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Aldh1a1",4.4643846700723e-20,-0.4645637643321,0.635,0.816,7.27560769681683e-16
"Dpt",5.51885005398543e-20,0.405132587581536,0.809,0.612,8.99406993298006e-16
"Tap1",5.75584488913707e-20,0.366880135866162,0.699,0.463,9.38030041582669e-16
"Arhgdib",6.20525383666377e-20,0.352336400408353,0.953,0.908,1.01127021776109e-15
"Lgals3",6.51034279083636e-20,0.409707662555347,0.989,0.991,1.0609905646226e-15
"Tmem252",6.69041383032552e-20,-0.465016606013734,0.362,0.587,1.09033674192815e-15
"Msn",7.36310682552465e-20,-0.333444303396563,0.978,0.994,1.19996551935575e-15
"Ncf1",7.6481765988989e-20,0.417896322704887,0.862,0.682,1.24642334032255e-15
"Parp11",7.72301598477232e-20,0.350908713481972,0.633,0.388,1.25861991503835e-15
"Blvrb",7.77532220726509e-20,0.407162599846391,0.823,0.651,1.26714426011799e-15
"Tek",8.01293334130012e-20,-0.415153319584061,0.21,0.461,1.30586774663168e-15
"Hist1h3b",8.44401917265051e-20,0.357590386481962,0.564,0.329,1.37612180456685e-15
"Cds2",9.86675482514408e-20,-0.436193133716998,0.732,0.868,1.60798503385373e-15
"Cd72",1.45012104128396e-19,0.310261961580863,0.528,0.283,2.36326226098046e-15
"Rnf213",1.49118224176422e-19,0.419357969964165,0.843,0.658,2.43017969940315e-15
"Cd79b",1.53085554563712e-19,0.413276662236828,0.666,0.432,2.49483528272481e-15
"Irf8",1.56162953814569e-19,0.391326788056506,0.912,0.786,2.54498765831603e-15
"Tspan15",1.59547809532393e-19,-0.455165736798239,0.663,0.785,2.60015065194941e-15
"Psme1",1.88506169917613e-19,0.361650543753744,0.975,0.927,3.07208505114734e-15
"Hpse",1.99734422059369e-19,0.280865710059016,0.359,0.159,3.25507187630153e-15
"Bhlhe40",2.00670847547521e-19,0.406619764823225,0.843,0.687,3.27033280248195e-15
"Creld2",2.28058430858048e-19,0.400998332458391,0.862,0.719,3.71666824769361e-15
"Gsap",2.29676391140222e-19,0.371049454357725,0.978,0.954,3.7430361464122e-15
"Ccm2l",2.54616855402272e-19,-0.453516109746036,0.279,0.515,4.14949089249082e-15
"S1pr1",2.6669986494794e-19,-0.461704002598752,0.37,0.589,4.34640769905658e-15
"Eln",2.73357549282635e-19,-0.420737437855763,0.785,0.926,4.4549079806591e-15
"Serpina3f",2.73556951454049e-19,0.260712710781803,0.331,0.139,4.45815763784663e-15
"Unc93b1",2.73630755621129e-19,0.323842603635603,0.97,0.93,4.45936042435753e-15
"Inpp5a",3.02593259175922e-19,-0.45528666500956,0.53,0.732,4.93136234479e-15
"Gpc3",3.05068175081648e-19,-0.412383045832866,0.406,0.631,4.97169604930562e-15
"Calcrl",3.25379493171295e-19,-0.424341510140921,0.285,0.527,5.30270960021259e-15
"Il1b",3.67645419880882e-19,0.262088420573332,0.273,0.103,5.99151740779873e-15
"Hist1h2bb",3.68461368353774e-19,0.376642236997483,0.757,0.529,6.00481492006145e-15
"Klf4",3.90880316683593e-19,-0.453343409246156,0.403,0.618,6.37017652099252e-15
"Oas3",4.11292760629612e-19,0.250447238729993,0.337,0.142,6.70283811998079e-15
"Hist1h1d",4.24800812996021e-19,0.373082153883983,0.867,0.712,6.92297884939616e-15
"Cxcr6",4.36848177831732e-19,0.291228449414252,0.428,0.211,7.11931475412373e-15
"Traf1",4.6192393375191e-19,0.379461068015439,0.773,0.571,7.52797434835487e-15
"Tnfrsf13c",5.14505579141604e-19,0.29132567042877,0.39,0.182,8.38489742327072e-15
"Dpep1",5.35240973783508e-19,-0.435046495688388,0.227,0.461,8.72282214974983e-15
"Mpeg1",5.65935435463312e-19,0.370695652654091,0.63,0.4,9.2230497917456e-15
"Malt1",6.16747232055796e-19,0.260551660827731,0.309,0.127,1.00511296408133e-14
"Irf5",6.29056633092308e-19,0.36724552648908,0.738,0.513,1.02517359495053e-14
"Ctdsp1",7.89397407151089e-19,-0.335132162374419,0.953,0.975,1.28648095443413e-14
"Slfn2",8.579324056747e-19,0.286016966236218,0.439,0.217,1.39817244152806e-14
"Runx3",9.08795637960389e-19,0.35463766380814,0.63,0.404,1.48106425118405e-14
"Tnip1",9.70086943534448e-19,0.354846401729614,0.901,0.765,1.58095069187809e-14
"Plekha1",1.02575413254069e-18,-0.394105750460758,0.84,0.918,1.67167150980157e-14
"Thy1",1.05432499977538e-18,0.342752075344982,0.552,0.323,1.71823345213394e-14
"Prickle2",1.33351278138439e-18,-0.458231055308206,0.428,0.638,2.17322577982215e-14
"Adrb1",1.3451337588022e-18,-0.424993698333348,0.293,0.524,2.19216448671994e-14
"Clstn1",1.5316760685568e-18,-0.426784676039056,0.738,0.845,2.49617248892702e-14
"Pink1",1.63200089479885e-18,-0.407598370330893,0.693,0.843,2.65967185825369e-14
"Cd300lf",1.87108966972418e-18,0.401862247507081,0.79,0.598,3.04931483474949e-14
"Hist1h3d",2.03408511165889e-18,0.38921341922981,0.768,0.572,3.31494850647049e-14
"Cd274",2.06047873708058e-18,0.426877201058473,0.925,0.844,3.35796219782022e-14
