"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Marcksl1",1.1482824600553e-06,-0.383813117449902,0.427,0.64,0.0162413071150221
"Sesn2",1.18278402553321e-06,-0.319146928332554,0.153,0.365,0.0167292972571417
"Cd40",1.33951849906029e-06,-0.335919246437324,0.221,0.44,0.0189461496507088
"Irf7",1.38688250677117e-06,-0.340970529953634,0.771,0.875,0.0196160661757714
"Psmb8",1.44433119849244e-06,-0.265768203300104,0.992,0.999,0.020428620471477
"Adgrg1",1.62386646760731e-06,-0.34581070449046,0.237,0.463,0.0229679673178377
"Eif4a1",1.67367767295092e-06,-0.32456955691629,0.229,0.451,0.0236724970062178
"Prps2",1.83638987655016e-06,-0.308876265774751,0.13,0.33,0.0259738984139255
"Lcp2",1.9226538416394e-06,-0.341524040941317,0.382,0.634,0.0271940159361477
"Ptprcap",2.51369757904504e-06,-0.407301604086192,0.214,0.412,0.0355537385580131
"Snx10",2.68516910675465e-06,-0.312259263494137,0.16,0.369,0.0379790318459378
"Hk3",2.72012926908723e-06,-0.383169040564575,0.366,0.604,0.0384735083819697
"Sptbn1",2.8035433731681e-06,0.276170165995191,0.962,0.889,0.0396533174700897
"Aqp1",2.91011346233385e-06,0.313118934367476,0.855,0.691,0.0411606448112499
"Stat3",3.2731134059335e-06,-0.292967924885377,0.244,0.488,0.0462949160135235
"Mfap4",3.41550961730881e-06,0.290041716157939,0.901,0.766,0.0483089680272159
"Sod3",3.9183396227e-06,0.318620612334604,0.924,0.863,0.0554209956234689
"Coro1a",4.01002355412759e-06,-0.297747407831173,0.198,0.421,0.0567177731495806
"Tppp3",4.06353207694367e-06,0.428860926920341,0.985,0.901,0.0574745976962913
"Timp2",4.28615335568252e-06,0.325083949486372,0.969,0.92,0.0606233530627735
"Itgb2",4.6254573436676e-06,-0.319419248359312,0.954,0.968,0.0654224686688345
"Cxcl16",4.73127665617034e-06,-0.355219597643897,0.954,0.968,0.0669191770248732
"Cd274",4.88893460549899e-06,-0.352239942613327,0.878,0.938,0.0691490910601777
"Epas1",4.96414248071591e-06,0.320439800161748,0.977,0.879,0.0702128312472459
"Tnfrsf1b",5.09701423221632e-06,-0.344742308934118,0.397,0.625,0.0720921693004676
"Prelid1",5.1646375651094e-06,-0.305424403651894,0.252,0.464,0.0730486337209074
"Cd3e",5.36827136854e-06,-0.345363149022038,0.26,0.465,0.0759288302366298
"Egfl7",5.51575002017016e-06,0.34888249153098,0.901,0.81,0.0780147682852868
"Poldip3",5.52908140013347e-06,-0.275683672165186,0.221,0.434,0.0782033273234878
"Serpinb9",6.93599363450961e-06,-0.361334653487107,0.29,0.501,0.0981026939665039
"Acta2",6.95291128686969e-06,0.400254138974469,0.405,0.241,0.0983419772414849
"Ckap5",7.07291249400784e-06,-0.290958111761405,0.237,0.449,0.100039274315247
"Lamc2",7.22574510489209e-06,-0.319800015275804,0.252,0.455,0.102200938763594
"Ltb",7.30022095951731e-06,-0.394266286455245,0.26,0.463,0.103254325251413
"Runx2",7.46666780496909e-06,-0.290499669294627,0.153,0.343,0.105608549433483
"Zbp1",7.68734659641263e-06,-0.331186389041233,0.87,0.944,0.10872983025966
