"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Arhgap45",0.000126784242269935,0.276433000008922,0.699,0.498,1
"Ptpn1",0.000140243127757425,0.271840258193073,0.946,0.915,1
"Gpsm3",0.000140795183084809,0.319705762968917,0.796,0.633,1
"Xpo6",0.000141666562798469,0.272652926283343,0.688,0.482,1
"Itgal",0.000142357402854199,0.27703430138791,0.849,0.666,1
"Gmip",0.000147659825207861,0.268602160780817,0.634,0.423,1
"Ccdc88b",0.000166261336510053,0.298017403494998,0.817,0.562,1
"Elof1",0.000166541804218518,0.251715946562483,0.505,0.315,1
"Rilpl2",0.000170075957873523,0.257617888409585,0.677,0.457,1
"Tax1bp1",0.000177260479064913,0.275303424413808,0.624,0.415,1
"Tmem140",0.000180966850716042,-0.331245208579732,0.634,0.763,1
"Cd24a",0.000191082640665058,0.284378423758635,0.624,0.425,1
"Serping1",0.000196867945341905,0.262172709501837,0.957,0.917,1
"Heg1",0.000197298687083655,-0.452259738432868,0.409,0.531,1
"Cd93",0.000204233991701627,-0.45135581005139,0.452,0.58,1
"Psmb2",0.000227873591314414,0.283843715980049,0.731,0.544,1
"Msn",0.000236890028073265,-0.261973066295394,0.935,0.984,1
"Ltbr",0.000256537392219403,-0.327495592903084,0.624,0.748,1
"Hopx",0.00027373758207291,-0.378567180895276,0.559,0.69,1
"Fasn",0.000281996671176094,-0.350769284752352,0.677,0.807,1
"H2afy",0.000312707402246909,0.255060294423095,0.903,0.687,1
"Pxdn",0.000331408744623853,-0.32547927978929,0.118,0.279,1
"Smad6",0.000332671801142235,-0.441622715203465,0.247,0.401,1
"Ahnak",0.000343531981854344,-0.359391774667551,0.871,0.946,1
"Atf6b",0.000348323708207001,0.28569663851663,0.753,0.552,1
"Gpx3",0.000356419116644103,-0.345430906632042,0.688,0.775,1
"Pianp",0.000363138787982361,0.283742683377964,0.731,0.525,1
"Sart1",0.000371820401514795,0.26182239063524,0.677,0.49,1
"Fkbp1a",0.000383359014369675,-0.301717014219898,0.785,0.85,1
"Fhl1",0.000457240220547241,-0.432650583484927,0.387,0.518,1
"Ighg3",0.000460596393839461,1.19795971444233,0.656,0.456,1
"Spred1",0.000486911625666012,-0.328501170912684,0.591,0.709,1
"Arhgap9",0.000493415495424606,0.251063601601391,0.656,0.453,1
