"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Spib",1.88464718136609e-23,0.941810249558674,0.871,0.188,3.07140951147231e-19
"Fcrla",9.36710531177314e-22,0.737204138094847,0.71,0.127,1.52655715265967e-17
"Ms4a1",2.14032544234857e-20,0.912288377889356,0.71,0.143,3.48808837339547e-16
"Blk",3.79711246954343e-20,0.54559460536744,0.452,0.056,6.18815419161493e-16
"Cd19",8.97282903004339e-20,1.49387273296111,0.903,0.31,1.46230194702617e-15
"Ighd",2.21267947656093e-19,1.07467868266112,0.968,0.343,3.60600374295134e-15
"Cxcr5",1.24895395704259e-17,0.671602490279545,0.581,0.105,2.03542026379232e-13
"Cd79b",3.7233287706423e-17,1.24360818333026,1,0.462,6.06790889751576e-13
"Cd52",5.00668762690631e-17,1.17619088808151,1,0.925,8.15939882556921e-13
"H2-DMb2",7.07749292957755e-17,1.39069873125882,1,0.959,1.15341902273325e-12
"Bank1",2.61144676794018e-16,0.873203691560961,0.71,0.175,4.25587479771212e-12
"Ighm",3.10650367759082e-16,2.19008476360033,1,0.981,5.06266904336975e-12
"Cd79a",3.25940271388358e-16,1.42227982181785,0.935,0.563,5.31184860281606e-12
"H2-Ob",3.93761352643836e-16,1.38932234047819,1,0.622,6.41712876403659e-12
"Tns1",1.86670005992619e-15,-1.5737043230049,0.903,0.996,3.04216108766171e-11
"Cd37",2.30970038423501e-15,1.3362698539679,1,0.676,3.7641187161878e-11
"Iglc1",2.8258521704267e-15,1.50804486705104,1,0.65,4.60529128214439e-11
"Blnk",2.97056271000013e-15,0.853140782902127,0.806,0.261,4.84112604848721e-11
"Pou2af1",3.18235050158029e-15,1.27861211485976,0.968,0.538,5.18627661242539e-11
"Ltb",3.48449203021326e-15,0.909175413310358,0.903,0.32,5.67867666163856e-11
"Il9r",3.90729036985298e-15,0.438840930314209,0.355,0.046,6.3677111157494e-11
"Cldn5",8.29683205193301e-15,-1.91162994517209,0.742,0.971,1.35213471950352e-10
"Trim7",1.16973322522867e-14,0.425671268830885,0.387,0.056,1.90631423715516e-10
"Inmt",1.26749626517216e-14,-2.04945372438206,0.839,0.968,2.06563866335107e-10
"H2-M2",1.44764206188884e-14,0.741370100841395,0.742,0.204,2.35922226826025e-10
"Cavin2",1.51163327251127e-14,-1.65279116052952,0.484,0.911,2.46350874421161e-10
"Igfbp2",1.57150521613734e-14,-2.077436360949,0.839,0.972,2.56108205073902e-10
"Spock2",1.66107561877928e-14,-1.74293051356366,0.516,0.937,2.7070549359246e-10
"Tnfrsf13c",1.93408855893792e-14,0.772365467214462,0.742,0.208,3.15198412450113e-10
"Timp3",2.36103400798559e-14,-1.2922240383941,1,0.997,3.84777712281412e-10
"Ighj1",8.91489531853266e-14,1.7208272081729,1,0.948,1.45286049006127e-09
"Fmo2",1.11995101784974e-13,-1.59981599343487,0.677,0.961,1.82518417378972e-09
"Iglc3",2.56680751763762e-13,0.737735412783109,0.645,0.172,4.18312621149403e-09
"Ccr6",3.61748187817668e-13,0.857254364800975,0.677,0.209,5.89541021686453e-09
"Clic5",4.56648652392183e-13,-1.17808553713589,1,0.995,7.4420030880354e-09
"Pcolce2",5.71743540677399e-13,-1.63213627576364,0.387,0.892,9.31770448241958e-09
"Sept1",5.76852920573839e-13,0.904089725009711,0.968,0.439,9.40097204659186e-09
"Fcrl5",6.68171813389731e-13,0.505305487458838,0.387,0.064,1.08891960428124e-08
"Sptbn1",6.71717136394296e-13,-1.18768492412651,0.839,0.986,1.09469741718178e-08
"Epas1",7.75819096168714e-13,-1.41140127922244,0.871,0.982,1.26435238102615e-08
"Ager",1.11395886518046e-12,-1.12450945960011,0.968,0.996,1.81541876258459e-08
"Cdyl2",1.22511648327376e-12,0.335072559698508,0.323,0.045,1.99657233279124e-08
"Mfap4",1.80866759070445e-12,-1.47218861148173,0.839,0.962,2.94758557257104e-08
"Nfatc1",1.87718873607155e-12,0.624569534418597,0.677,0.191,3.05925448317581e-08
"Eng",2.08467784902403e-12,-1.35252885242884,0.645,0.965,3.39739949055446e-08
"Ace",2.12770682258317e-12,-1.48702710237353,0.419,0.897,3.46752380876379e-08
"Ptprcap",2.37820748703802e-12,0.807833261020613,0.871,0.358,3.87576474162586e-08
"Ptprc",2.55543996800424e-12,0.812678729260215,1,0.971,4.16460051585651e-08
"Pakap.1",2.75733069487022e-12,-1.21280316558639,0.968,0.99,4.49362183342999e-08
"Siglecg",3.05162707100885e-12,0.479356920746509,0.484,0.099,4.97323663762312e-08
"Ikzf3",3.32988801155054e-12,0.930062094868271,0.935,0.561,5.42671849242392e-08
"H2-Ab1",3.87512318952248e-12,0.859345409497404,1,0.997,6.31528826196478e-08
"Fcer2a",4.14825822174015e-12,0.310184447241999,0.29,0.038,6.76041642396992e-08
"Ppp1r14a",4.40543761740912e-12,-1.41957393085675,0.71,0.948,7.17954168509164e-08
"Slc9a7",4.68331665658126e-12,0.589304850396664,0.613,0.16,7.63240115523048e-08
"Cr2",4.83243807676454e-12,0.716552882310558,0.548,0.137,7.87542433370317e-08
"Jchain",4.98767227228590e-12,1.44237915964997,1,0.982,8.12840950214434e-08
"C3",5.9579521350591e-12,0.788295352086166,1,0.997,9.70967459450582e-08
"App",7.88381347509672e-12,-0.717604519886627,1,1,1.28482508203651e-07
"Cryab",8.00344073550993e-12,-1.09365001188705,0.903,0.989,1.30432073666605e-07
"Tspan7",8.46454261738609e-12,-1.45937164752591,0.29,0.841,1.37946651035541e-07
"Gsn",8.51623717513780e-12,-1.24695542447804,0.742,0.967,1.38789117243221e-07
"Ffar2",1.07320780609425e-11,0.449577340083173,0.484,0.102,1.74900676159179e-07
"Egfl7",1.11340232645312e-11,-1.2928298819117,0.645,0.954,1.81451177142064e-07
"Pax5",1.22477827151534e-11,0.476983090443945,0.484,0.102,1.99602114908855e-07
"Fcmr",1.26772926119748e-11,0.342642467967164,0.29,0.04,2.06601837697353e-07
"Gpx3",1.3329891631641e-11,-1.16584604933037,0.903,0.979,2.17237243920853e-07
"Mzb1",1.45174377458359e-11,1.21281709563553,0.935,0.556,2.36590682943888e-07
"Clec14a",1.96057627735359e-11,-1.35669653350511,0.387,0.885,3.19515115920314e-07
"Acer2",2.14388838559153e-11,-1.29949312332075,0.806,0.971,3.49389490199851e-07
"Ighj4",2.77506390690599e-11,1.45224741892395,1,0.904,4.5225216490847e-07
"Enpp1",3.10367374235295e-11,0.318448420281688,0.258,0.033,5.05805709791261e-07
"Tmcc2",4.64489803936766e-11,-1.32239920975322,0.516,0.893,7.56979033475748e-07
"Syt13",4.99873154461393e-11,0.306386213259899,0.29,0.042,8.14643279825732e-07
"Ahnak",5.57155675750332e-11,-0.914813554568509,1,0.996,9.07996604770316e-07
"Slc9a3r2",5.99905534004323e-11,-1.22030588951845,0.742,0.949,9.77666048766845e-07
"Prkcb",7.95835610856359e-11,0.557892559778308,0.516,0.13,1.29697329501261e-06
"Aqp1",9.28730295017153e-11,-1.26946308877158,0.774,0.944,1.51355176178945e-06
"Car4",9.30100234764499e-11,-1.36946390823889,0.29,0.813,1.5157843525957e-06
"Serpina3g",1.34100336474392e-10,0.799603467045919,1,0.963,2.18543318352317e-06
"Ltbp4",1.42277494358903e-10,-1.14248099334909,0.613,0.942,2.31869632556704e-06
"Rasip1",1.47204661463978e-10,-1.18817051406158,0.581,0.915,2.39899436787846e-06
"Il21r",1.62186937019675e-10,0.865803710497189,0.871,0.446,2.64316051260965e-06
"Ndst1",1.97720973789229e-10,-1.06553021125075,0.903,0.972,3.22225870984306e-06
"Plvap",2.08123026236814e-10,-1.08199893936218,0.935,0.981,3.39178095858135e-06
"Fgf1",2.49431240203188e-10,-1.14486102420103,0.323,0.845,4.06498092159136e-06
"Fam189a2",2.60507864397031e-10,-1.14368826025008,0.548,0.943,4.24549666607842e-06
"Igkc",2.7759068650506e-10,1.13069898147701,1,1,4.52389541797296e-06
"Id1",3.24452326599126e-10,-1.17553078010288,0.484,0.877,5.28759956658596e-06
"Igha",3.33095328817877e-10,1.10234913147971,1,1,5.42845457374494e-06
"Jup",3.54646265151441e-10,-1.00987564789188,0.839,0.966,5.77967018317303e-06
"Mif4gd",3.82569954836121e-10,0.800973934558662,0.968,0.698,6.23474255396426e-06
"St8sia6",4.21979870124744e-10,0.49150062902677,0.516,0.132,6.87700594342295e-06
"Cd22",4.79193392150091e-10,0.529725266650501,0.581,0.166,7.80941471187004e-06
"H2-Eb1",5.0333893351606e-10,0.686205382687652,1,0.999,8.20291459951124e-06
"Socs1",5.91865755557479e-10,0.892873743415883,1,0.675,9.64563621832024e-06
"Plcl2",6.43882713655647e-10,0.320673661290065,0.323,0.056,1.04933565844461e-05
"H2-Aa",6.92029233601708e-10,0.699866181572001,1,0.972,1.1278000420007e-05
"Sec14l3",7.24406246440402e-10,-0.909758072395873,0.935,0.992,1.18056485982392e-05
"Cyfip2",7.77707313240141e-10,0.838953548058031,0.903,0.524,1.26742960838746e-05
"Tm4sf1",7.89274686041364e-10,-0.968740622122212,0.645,0.94,1.28628095584161e-05
"Dok3",1.13871559070391e-09,0.571770727442648,0.613,0.192,1.85576479817016e-05
"Iqca",1.33842649267276e-09,0.32691640162753,0.29,0.048,2.18123365510879e-05
"Vegfa",1.37975938150836e-09,-1.09074856987451,0.871,0.964,2.24859386404417e-05
"Timp2",1.42399091164719e-09,-0.965610230486625,0.806,0.974,2.32067798871142e-05
"Smchd1",1.6005495176903e-09,0.351706360574412,0.323,0.059,2.60841554897989e-05
"Man1a",1.66967080477842e-09,0.810655577994936,0.968,0.618,2.7210625105474e-05
"F2r",1.79178439160072e-09,-1.00806249161307,0.71,0.948,2.9200710229917e-05
"Tnfaip2",2.1335904513535e-09,0.701132536408873,1,0.971,3.4771123585708e-05
"Fhl1",2.17909671209807e-09,-1.07809909181412,0.516,0.866,3.55127391170622e-05
"Ly6d",2.2150516433547e-09,0.382550453957967,0.323,0.06,3.60986966317516e-05
"Cd74",2.30276933115139e-09,0.39513768379431,1,1,3.75282317897742e-05
"Sec11c",2.3219630194021e-09,0.76638585794367,1,0.942,3.7841031327196e-05
"Krt7",2.3642860764404e-09,-0.801463254091168,0.968,0.991,3.85307701877493e-05
"Il4i1",2.45681092168886e-09,0.621613993747913,0.645,0.225,4.00386475907633e-05
"Cyp4b1",2.97479647472126e-09,-1.03540812959656,0.677,0.935,4.84802581485324e-05
"Hvcn1",3.08675573354928e-09,0.795104265079702,0.903,0.567,5.03048581896526e-05
"Prr3",3.20491786054442e-09,0.409788037360172,0.548,0.151,5.22305463732925e-05
"Bgn",3.56184310998572e-09,-0.950299965418595,0.677,0.94,5.80473571634372e-05
"Psap",3.63017565331141e-09,0.492601039429469,1,1,5.9160972622016e-05
"Pfn1",3.65103830288195e-09,0.583677478787922,1,0.999,5.95009712220671e-05
"Tmem204",3.73081949140521e-09,-1.09081585649609,0.484,0.852,6.08011652514307e-05
"Lcn2",3.87016576616889e-09,0.910698468839563,0.968,0.722,6.30720914912544e-05
"Pik3c2b",3.90804549214343e-09,0.575192251583038,0.516,0.154,6.36894173854614e-05
"Gimap7",4.15511956574732e-09,0.689228308990824,0.871,0.427,6.77159835629841e-05
"Marcksl1",4.79689548744221e-09,0.713570274971507,0.903,0.52,7.81750057588457e-05
"Scnn1a",4.88992169447333e-09,-0.994756698358024,0.516,0.864,7.96910538548319e-05
"Slc7a11",5.26968420522085e-09,0.409727827476607,0.484,0.125,8.58800434924842e-05
"Slpi",7.39195303315592e-09,1.04875674746079,1,0.956,0.000120466658581342
"Tnfrsf18",9.00705854075576e-09,0.54559460536744,0.645,0.222,0.000146788033038697
