"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Inmt",3.27276771118497e-19,-1.60732179871935,0.27,0.69,4.62900265070002e-15
"Igfbp2",7.94809439338268e-18,-1.69334393510828,0.36,0.722,1.12417847100005e-13
"Ckmt1",1.32094827831892e-16,0.396371224310728,0.45,0.142,1.86834924485427e-12
"Lcn2",1.41179868023028e-16,0.834220037016603,0.96,0.842,1.9968480533177e-12
"Fxyd3",2.43039230887945e-16,0.306794019522681,0.27,0.057,3.43754688167909e-12
"Cldn3",5.10170350455457e-16,0.618510883423209,0.99,0.862,7.21584943684198e-12
"Spint2",6.44886512237874e-16,0.57461839502969,1,0.99,9.1212748290925e-12
"Anxa8",2.00378119722617e-15,0.476284053144913,0.37,0.108,2.8341481253567e-11
"Tnfaip2",3.15303914212356e-15,0.634562243707502,1,0.998,4.45965856261957e-11
"Acer2",8.38269560224247e-15,-0.944931931859542,0.68,0.85,1.18564846598117e-10
"Cldn5",9.19049853976101e-15,-1.26498999546546,0.57,0.779,1.2999041134638e-10
"Dsp",6.09743042607034e-14,0.304234428105818,0.43,0.141,8.62420559463389e-10
"Eng",6.1357420129924e-14,-0.779983921512855,0.49,0.798,8.67839350317645e-10
"Tns1",7.29290524752355e-14,-0.975475676326107,0.84,0.9,1.03150851820973e-09
"Mgat3",9.65382970101551e-14,0.407436537297407,0.33,0.098,1.36543767291163e-09
"Ehf",1.02254328886728e-13,0.520886102286322,0.65,0.308,1.44628522777389e-09
"Spock2",1.59881384190279e-13,-1.00185392509885,0.37,0.672,2.26136229798731e-09
"Tmc4",1.90018896314208e-13,0.526200866440972,0.9,0.695,2.68762726946815e-09
"Vamp8",2.35260286429855e-13,0.462343961653313,1,0.998,3.32752149126387e-09
"Pglyrp1",4.00164738982209e-13,0.852300504506568,0.76,0.444,5.65993006816437e-09
"Dcxr",5.1549913278978e-13,0.717489784764465,0.97,0.962,7.29121973417865e-09
"Pigr",5.84754698025498e-13,0.565791511831522,0.6,0.291,8.27077044887264e-09
"Adgre5",1.00930490796222e-12,-0.640993056931902,0.75,0.919,1.42756086182177e-08
"Ace",1.12232582775327e-12,-0.934035391030328,0.43,0.713,1.58741765077423e-08
"Timp2",2.20962205352582e-12,-0.66210821643475,0.8,0.93,3.12528943250692e-08
"Wfdc2",2.45534958888173e-12,0.836169901024889,0.93,0.858,3.47284645851432e-08
"Ly6e",2.85585138964024e-12,0.407474674752991,1,1,4.03931620550715e-08
"Sftpd",3.16879132192687e-12,0.560796980823531,1,0.962,4.48193844573337e-08
"Aqp1",3.80132398030628e-12,-0.886225452289516,0.46,0.715,5.37659263774521e-08
"Esrp1",4.08038904357463e-12,0.413750311229609,0.63,0.302,5.77130226323195e-08
"Egfl7",7.53661857337744e-12,-0.813455108868971,0.65,0.825,1.06597933101851e-07
"Adgrg1",1.11756255435895e-11,0.491555757300494,0.75,0.431,1.5806804768853e-07
"H2-DMb2",1.11913139058769e-11,0.349223609845843,1,0.998,1.58289943884722e-07
"Cxcl17",1.62667623647741e-11,0.346444382359841,0.39,0.142,2.30077086887365e-07
"Map7",1.69601108868335e-11,0.478937130369344,0.7,0.367,2.39883808383372e-07
"Gm4951",2.64575971324678e-11,0.445015400628337,0.94,0.887,3.74216253841625e-07
"Apoc1",3.55547189728782e-11,0.647082752626311,0.9,0.819,5.0288594515239e-07
"Rab15",3.72610433495824e-11,0.520890479893122,0.75,0.446,5.27020197136494e-07
"Cxcl5",3.77557907346569e-11,0.41284549630142,0.53,0.238,5.34017904150987e-07
"Vim",3.7879732490074e-11,-0.446999529720273,0.99,0.992,5.35770936339606e-07
"Clec14a",4.12045611232422e-11,-0.809384358688482,0.23,0.525,5.82797312527138e-07
"Thbd",7.07128119877744e-11,-0.74984247245162,0.13,0.456,1.00016201275508e-06
"Clip4",8.85324738277376e-11,0.470297918598019,0.74,0.436,1.25220330981952e-06
"Bst2",1.0241752959509e-10,0.410752361436228,1,0.983,1.44859353859295e-06
"Capsl",1.69146975524799e-10,0.30633017518184,0.36,0.132,2.39241482182276e-06
"Clu",1.95623721526313e-10,0.54257526281335,0.98,0.946,2.76690191726817e-06
"Slc9a3r2",2.04168588045383e-10,-0.783286394708348,0.64,0.792,2.8877605093139e-06
"Gsta4",2.1119456209025e-10,0.611211614001669,0.58,0.31,2.98713588620449e-06
"Gbp3",2.13251159791852e-10,0.428275615720124,0.96,0.93,3.01622440409595e-06
"Ppp1r14a",3.51676119427917e-10,-0.730467838471945,0.55,0.756,4.97410703318846e-06
"Ube2l6",3.80943240480378e-10,0.482757491965086,0.95,0.858,5.38806119335447e-06
