"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Cldn5",2.90756381300044e-94,0.674671746600478,0.999,0.945,4.73845674604682e-90
"Igfbp2",1.82881867495715e-82,0.654035708605076,1,0.948,2.98042579457767e-78
"Acer2",8.52013386343366e-81,0.575381661378281,0.997,0.947,1.38852621572378e-76
"Tns1",1.5686077593187e-78,0.513797682980848,1,0.991,2.55636006536168e-74
"C3",1.46096108519931e-77,-0.728952462692956,0.997,0.998,2.38092828054932e-73
"Pakap.1",1.41833197139245e-76,0.498304979261376,0.999,0.984,2.31145561377828e-72
"C1qa",8.76417420232788e-74,-0.746253700286886,0.904,0.973,1.42829746975337e-69
"Egfl7",4.86352947952189e-73,0.561815286614552,1,0.912,7.92609399277683e-69
"Inmt",5.23459074695941e-73,0.596042463448385,0.997,0.943,8.53081254031975e-69
"Epas1",6.42920793378063e-73,0.533744454802612,1,0.966,1.04776801696823e-68
"Mfap4",1.08257766969642e-72,0.547961645921917,0.994,0.936,1.76427682830426e-68
"Car4",4.34024273931298e-69,0.620767870493192,0.936,0.709,7.07329359225836e-65
"Slc9a3r2",5.56736857721108e-69,0.538630004939578,0.995,0.911,9.0731405702809e-65
"Eng",1.10602361463466e-68,0.525964896001812,0.995,0.935,1.80248668477011e-64
"Aqp1",2.48398738457373e-68,0.558810633891918,0.987,0.908,4.04815424063981e-64
"Ager",6.86390414686218e-68,0.43883341467779,1,0.993,1.11861045881413e-63
"Spock2",2.00999434083601e-67,0.545738913025521,0.996,0.883,3.27568777726045e-63
"Tmcc2",2.18262132820499e-67,0.565687908761879,0.976,0.824,3.55701797857567e-63
"App",3.03912684979264e-67,0.336921798251923,1,1,4.95286502710706e-63
"Clic5",3.2671453980703e-67,0.450454501819513,1,0.991,5.32446685523516e-63
"H2-Eb1",4.23613524289777e-67,-0.542821015841971,0.998,1,6.90362960535049e-63
"Ppp1r14a",1.31834911501091e-66,0.532579975137624,0.992,0.91,2.14851355273327e-62
"Fmo2",2.06508841241953e-66,0.523198704670144,0.995,0.929,3.36547458572011e-62
"Cavin2",3.12219075961639e-66,0.547405980132338,0.983,0.848,5.08823428094683e-62
"Plvap",6.09518669577623e-66,0.506860893669142,0.999,0.966,9.93332575810652e-62
"Rasip1",3.8766269488022e-65,0.544614421622879,0.977,0.861,6.31773893846294e-61
"Timp3",7.51403232956239e-64,0.430415466142302,1,0.995,1.22456184874878e-59
"Ace",5.64178528351795e-63,0.546898299534484,0.973,0.829,9.1944174765492e-59
"Pcolce2",8.18549705648305e-63,0.549265416350158,0.977,0.817,1.33399045529504e-58
"C1qc",2.26058948424025e-62,-0.688085665315507,0.617,0.821,3.68408268246634e-58
"Tspan7",1.64078572788991e-61,0.574466182654866,0.941,0.754,2.67398850074218e-57
"Vegfa",3.98905140903275e-59,0.490884952684145,0.997,0.938,6.50095708130067e-55
"Cd74",5.93542522742541e-57,-0.296448683842979,1,1,9.6729624931352e-53
"Sptbn1",1.40993784039475e-54,0.412847007594749,1,0.972,2.29777569849132e-50
"Ccl8",6.28244481194284e-54,-0.845907042207573,0.517,0.751,1.02385003100233e-49
"Id1",6.60974698976877e-53,0.49215135844015,0.953,0.811,1.07719046692262e-48
"Clec14a",7.56809995385191e-53,0.51084253362148,0.961,0.817,1.23337324947925e-48
"H2-Ab1",1.89273828674253e-51,-0.469544604216068,0.994,0.999,3.08459558590429e-47
"Icam2",1.94609148145059e-51,0.515407023013018,0.844,0.627,3.17154528732003e-47
"Emp2",2.45311659715537e-51,0.438678507814557,0.995,0.936,3.9978441183841e-47
"H2-Aa",3.01149114660549e-51,-0.521538477266645,0.962,0.98,4.90782712162297e-47
"Ighm",3.82893860753549e-51,-1.15812783689383,0.969,0.991,6.2400212487006e-47
"Jup",2.44082173966289e-50,0.417660781794764,0.99,0.945,3.97780718912862e-46
"Kdr",2.77304497544187e-50,0.493490354892929,0.93,0.745,4.51923139647761e-46
"C1qb",1.23867901957502e-49,-0.629194701008596,0.52,0.755,2.01867519820141e-45
"Ndst1",4.60186316909666e-48,0.418611082882928,0.996,0.953,7.49965640667683e-44
"Fam189a2",9.48708437047892e-48,0.422803853515722,0.992,0.898,1.54611013985695e-43
"Tmem100",5.60496499991266e-47,0.515103916315752,0.824,0.597,9.13441146035765e-43
"Tmem204",1.19100560228632e-46,0.461943825472741,0.944,0.776,1.94098183004602e-42
"Slco2a1",1.257007133378e-46,0.480966904015578,0.952,0.813,2.04854452526613e-42
"Pecam1",4.34685906709364e-46,0.445167408556562,0.93,0.774,7.0840762216425e-42
"Gpx3",2.44997946576151e-45,0.404556254862584,0.994,0.967,3.99273153535153e-41
"Col3a1",3.46140806922363e-44,-0.484497133316245,0.984,0.994,5.64105673041375e-40
"F2r",1.47571249605406e-43,0.38809809559446,0.983,0.917,2.4049686548193e-39
"Ptprb",3.17617256984687e-43,0.460165694130187,0.84,0.617,5.17620843707944e-39
"Serpina3g",3.49037129818236e-43,-0.503419643576164,0.949,0.975,5.68825810464779e-39
"Dpt",5.25419970010627e-43,-0.490042584464517,0.507,0.745,8.56276925126318e-39
"Cdc42bpg",9.28791716896355e-43,0.425020709768027,0.959,0.808,1.51365186102599e-38
"Ramp2",2.40684080680482e-42,0.457635634271458,0.854,0.636,3.92242846284981e-38
"Prex2",6.57048005798883e-42,0.444101961167616,0.877,0.685,1.07079113505044e-37
"Ighj1",3.10511386590153e-41,-0.945549577696835,0.934,0.96,5.06040406725973e-37
"Adgre5",4.25696719603145e-41,0.381078385783686,0.985,0.937,6.93757943937246e-37
"Krt7",5.15546456475662e-41,0.340634622486606,1,0.984,8.40186060118386e-37
"Igha",6.68183374788588e-41,-0.860237566976806,1,1,1.08893844589296e-36
"Macf1",8.20601931896378e-41,0.376231129454445,0.992,0.934,1.33733496841153e-36
"Sema3g",2.03955682731646e-40,0.450913936346204,0.815,0.59,3.32386576147764e-36
"Cyp4b1",2.66375410502805e-40,0.392856624825519,0.985,0.891,4.34112006496422e-36
"Myct1",3.57942307057016e-39,0.452133417883723,0.78,0.55,5.83338577810819e-35
"Shank3",3.7847869087183e-39,0.449784750867636,0.81,0.626,6.16806722513821e-35
"Sept4",9.41842779774773e-39,0.432962241039758,0.914,0.76,1.53492117819895e-34
"Dpysl2",2.13482732068238e-38,0.389514489399111,0.966,0.887,3.47912808451608e-34
"Hopx",4.22743218507862e-37,0.374435949849649,0.979,0.897,6.88944623202262e-33
"Aif1",9.11042917523818e-37,-0.486512272052853,0.565,0.77,1.48472664268857e-32
"Arap3",1.73380577755286e-36,0.429357848084634,0.777,0.562,2.82558327567789e-32
"Cd93",2.22994819390551e-36,0.426330201169394,0.861,0.725,3.63414657160782e-32
"Jchain",3.78387161135647e-36,-0.938685729378954,0.978,0.986,6.16657556502764e-32
"Gzma",5.91837446755423e-36,0.409420948966332,0.904,0.753,9.64517486977313e-32
"Igkc",1.51547189067311e-35,-0.817471837895866,1,1,2.46976454022996e-31
"H2-DMb2",2.15517270520253e-35,-0.522418589718185,0.947,0.969,3.51228495766856e-31
"Ier3",2.1574337562891e-35,0.395494526993731,0.942,0.817,3.51596979262435e-31
"Myo1c",4.48852642303879e-35,0.297813319637024,0.999,0.993,7.31495151162632e-31
"Prx",5.91730441207295e-35,0.441653969795218,0.769,0.579,9.64343100035528e-31
"Efnb2",1.56606148821274e-34,0.413192579644794,0.835,0.618,2.55221040734029e-30
"Timp2",3.01687611731625e-34,0.329530859563032,0.993,0.956,4.91660300839029e-30
"Ahnak",6.52822008987435e-34,0.291431918769084,0.999,0.994,1.06390402804682e-29
"Fhl1",2.72013173075529e-33,0.362589947746508,0.947,0.799,4.4329986816119e-29
"Cdh5",3.0826012921955e-33,0.420523738325282,0.753,0.551,5.023715325891e-29
"Cox4i2",3.36413110643252e-33,0.404050640309451,0.806,0.612,5.48252446415308e-29
"Pdzd2",4.02407465391036e-33,0.409766331953801,0.82,0.655,6.55803446347771e-29
"Cd52",5.67131945876893e-33,-0.423615622621921,0.896,0.949,9.24254932195573e-29
"Bmp6",2.23469680123705e-32,0.404473928241198,0.763,0.556,3.64188537697601e-28
"Fgf1",4.26944834950518e-32,0.380289728677578,0.909,0.784,6.95791997518859e-28
"Lhfp",5.37972651555244e-32,0.375442926688489,0.929,0.812,8.76734030239581e-28
"Itga3",6.81963895560295e-32,0.347292789287915,0.929,0.792,1.11139656059461e-27
"Tgfb1i1",8.74241006740588e-32,0.353486718717392,0.964,0.895,1.42475056868514e-27
"Plaat3",1.16708514211951e-31,-0.477778448557541,0.731,0.841,1.90199865611217e-27
"Klhl5",1.56148893770973e-31,0.375851724975478,0.916,0.807,2.54475852178555e-27
"Col4a2",1.58700850467844e-31,0.307058907785123,0.998,0.976,2.58634776007445e-27
"Trim16",1.76964445788524e-31,0.411651250241896,0.796,0.604,2.88398957301558e-27
"Dusp3",2.30145381829076e-31,0.361496844580905,0.941,0.855,3.75067928766845e-27
"Thbd",2.76459319999931e-31,0.416767748624257,0.763,0.575,4.50545753803887e-27
"Stmn2",3.01753378531514e-31,0.417444123961726,0.72,0.513,4.91767480992808e-27
"Rnf144a",3.94760981397753e-31,0.415000594628567,0.781,0.602,6.43341971383918e-27
"Pmp22",4.72956194317154e-31,0.391499194358487,0.824,0.676,7.70776709878666e-27
"Sema3c",1.08555447253067e-30,0.405004456304829,0.797,0.601,1.76912812388323e-26
"Kctd10",1.2290508883074e-30,0.326759528016938,0.965,0.875,2.00298423267457e-26
"BC028528",1.24373288951435e-30,0.377204920986507,0.873,0.7,2.02691149004154e-26
"Hsd11b1",1.40718253273234e-30,0.387219009368331,0.865,0.709,2.29328537359389e-26
"Ighj4",1.47990535505133e-30,-0.83201125300601,0.868,0.933,2.41180175712716e-26
"Socs1",4.31129323712224e-30,-0.498392639737697,0.581,0.752,7.02611458853812e-26
"Jun",8.0488004179374e-30,0.332176894354364,0.975,0.933,1.31171300411126e-25
"Cfb",2.16683081884209e-29,-0.499225534037353,0.587,0.742,3.53128418546695e-25
"Ctsb",2.21795040780617e-29,-0.315525996408099,0.989,0.993,3.61459377960172e-25
"C4b",7.29075281215016e-29,-0.37343255005903,0.299,0.524,1.18817398579611e-24
"Rgs12",7.58919756115507e-29,0.370924094052518,0.873,0.73,1.23681152654144e-24
"Msn",1.20149460213267e-28,0.272155068299791,0.999,0.986,1.95807575309562e-24
"Sec11c",5.11369467888603e-28,-0.389522789796438,0.919,0.961,8.33378821818056e-24
"Lcn2",2.01788866437734e-27,-0.517857930390946,0.639,0.789,3.28855315633574e-23
"Krt80",2.12113812495243e-27,0.394140282190059,0.778,0.61,3.45681880223498e-23
"Tnfaip2",2.47415336030581e-27,-0.44177284765632,0.964,0.977,4.03212773129038e-23
"Amotl2",2.50451245412606e-27,0.31413859684852,0.947,0.875,4.08160394648924e-23
"Qk",2.85879969284755e-27,0.308985002100267,0.984,0.944,4.65898585943365e-23
"Fkbp1a",2.87521926617318e-27,0.293613498915308,0.983,0.94,4.68574483808244e-23
"Epb41l2",3.83759274489356e-27,0.300823664782829,0.956,0.9,6.25412489635304e-23
"Retnla",4.79920504272682e-27,-0.665468000082178,0.654,0.768,7.8212644581319e-23
"Naaa",1.14760615064326e-26,-0.384010854725906,0.851,0.907,1.87025374370333e-22
"Myo10",1.65056275315364e-26,0.344719959760605,0.826,0.706,2.68992211881448e-22
"Txn1",1.83638996526884e-26,-0.28386636588235,1,1,2.99276472639862e-22
"Tspan8",2.47954784180739e-26,0.342426586895191,0.825,0.662,4.0409191177935e-22
"Fgd5",2.7736565609013e-26,0.336877785852748,0.797,0.625,4.52022809730084e-22
"Col1a1",3.29218379245183e-26,-0.386080954885794,0.809,0.897,5.36527192655874e-22
