"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"AI413582",1.33958261146044e-13,-0.25240616804535,0.362,0.573,1.89470564564965e-09
"Marveld1",1.51197133116324e-13,0.322241631889692,0.704,0.619,2.13853225079729e-09
"Tle3",1.64793434610914e-13,-0.267326818219928,0.375,0.585,2.33083833913676e-09
"Coro1a",1.82972285813041e-13,-0.282137298354444,0.27,0.463,2.58796001053965e-09
"Stat1",1.90925787396074e-13,-0.289179844473758,0.599,0.768,2.70045433693007e-09
"Itgb2",2.22016960415653e-13,-0.289636107780716,0.965,0.968,3.140207888119e-09
"Ttc39b",2.45245361772775e-13,-0.261312120433466,0.301,0.494,3.46875039691412e-09
"Sash3",2.648185776387e-13,-0.302672577663467,0.311,0.5,3.74559396212177e-09
"Stk25",2.92616056867087e-13,0.25468093741443,0.971,0.918,4.13876150832808e-09
"Fcer1g",3.24540821900679e-13,-0.2773518069352,0.318,0.511,4.5903053849632e-09
"Rsu1",3.25921864195223e-13,0.27797657155546,0.822,0.768,4.60983884717723e-09
"Fmo1",3.37089934953115e-13,0.371606334849207,0.491,0.362,4.76780003997686e-09
"Mapk3",4.00929846000399e-13,0.274148701506981,0.846,0.778,5.67075174182964e-09
"Galnt18",4.15207002025243e-13,0.311623462485599,0.721,0.652,5.87268783664503e-09
"Itga1",4.25154451401993e-13,0.335544984290799,0.562,0.446,6.01338456062979e-09
"Snrnp25",4.50722220259177e-13,-0.25992043756448,0.253,0.434,6.3750150833458e-09
"Acvrl1",4.73720871172896e-13,0.342443687642909,0.422,0.287,6.70030800186944e-09
"Ralgds",4.86229019907464e-13,-0.26892242580107,0.351,0.562,6.87722325757117e-09
"Heg1",6.13462006631763e-13,0.348132623940287,0.597,0.495,8.67680662179966e-09
"Atp5l",6.52918902163466e-13,-0.269354165452544,0.4,0.606,9.23488495220006e-09
"Ier3",7.1744525777497e-13,0.306076142920884,0.725,0.639,1.01475457259692e-08
"Fkbp1a",7.46923231298379e-13,0.290703090000403,0.886,0.831,1.05644821834843e-08
"Bak1",8.35004781316897e-13,-0.253217348392335,0.336,0.535,1.18103076269462e-08
"Laptm5",9.83800215235233e-13,-0.251532861455856,0.978,0.986,1.39148702442871e-08
"Hist1h1e",1.059432193555e-12,-0.251011755103021,0.268,0.457,1.4984608945642e-08
"Dnmt3a",1.06458413501227e-12,-0.264924683925688,0.453,0.663,1.50574780056135e-08
"Edem1",1.21730659939946e-12,-0.273404395997924,0.74,0.863,1.7217584541906e-08
"Rassf4",1.25862083177298e-12,-0.285397240123137,0.609,0.774,1.78019330445971e-08
"Pdia4",1.28925443200428e-12,-0.264882333649687,0.431,0.641,1.82352146862686e-08
"Fscn1",1.5701305178706e-12,-0.34552394639961,0.413,0.601,2.22079260447617e-08
"Rab43",1.76541888832731e-12,-0.270006733502165,0.401,0.592,2.49700847565015e-08
