"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Eln",1.0449744484806e-17,1.05894860273356,0.907,0.642,1.47801185993095e-13
"Myh11",1.45819820951592e-15,1.09550904027469,0.573,0.222,2.06247554753932e-11
"Gsn",7.87285112741862e-15,0.71615364929142,1,0.872,1.11353606346209e-10
"Ltbp4",1.25706091557771e-14,0.97027576727452,0.867,0.635,1.77798695899311e-10
"Fmo2",2.3405659568039e-13,0.754859534556126,0.973,0.737,3.31049648930344e-09
"Myl9",5.18285769799534e-13,0.765643125962689,0.48,0.177,7.3306339280446e-09
"Clec3b",1.57160349612774e-12,0.919585828863146,0.893,0.706,2.22287598492307e-08
"Cst3",3.86594387125187e-12,0.467842438780894,1,1,5.46799101149865e-08
"Ppp1r14a",6.77681774973637e-12,0.627926419798396,0.947,0.737,9.58513102522712e-08
"Inmt",1.78112318250952e-11,0.747955209835103,1,0.655,2.51922062934147e-07
"Psap",3.49933236846523e-11,-0.472698010172972,1,1,4.94945570195722e-07
"H2-DMb2",6.08885549328555e-11,-0.669494417719777,1,0.998,8.61207720970308e-07
"Acta2",6.13838585530665e-11,1.31125446126553,0.507,0.241,8.68213295374573e-07
"Tagln",7.07405188025474e-11,0.892743289385033,0.453,0.185,1.00055389794323e-06
"Timp3",2.49289839494292e-10,0.526166505592859,1,0.939,3.52595548980727e-06
"Ptgis",5.32479637591046e-10,0.774424790820609,0.707,0.483,7.53139199408775e-06
"Slpi",7.12416518479153e-10,-0.826535171338014,0.96,0.97,1.00764192373691e-05
"Cst7",1.19117122799951e-09,-0.729709778163407,0.147,0.52,1.68479258488251e-05
"Serpinb9",1.52059146384821e-09,-0.693943578816917,0.133,0.501,2.1507245664669e-05
"Ccn2",1.61173443192126e-09,0.922597344938673,0.693,0.503,2.27963718050944e-05
"Ctss",2.14882013331008e-09,-0.576731740489726,1,1,3.03929119655378e-05
"Tnfaip2",6.00154597233104e-09,-0.671681450387338,1,0.998,8.48858662326502e-05
