"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Ctss",9.0542898224823e-69,0.605301776456512,1,1,1.2806387524919e-64
"Gbp2b",3.88599914562219e-58,0.594122002489642,0.999,0.989,5.49635719156802e-54
"Nos2",6.20174655878335e-55,0.844260378345358,0.846,0.671,8.77175033274317e-51
"Lgals3",6.3953882588448e-47,0.591214303436013,0.997,0.976,9.04563715331008e-43
"Fth1",6.49340233727144e-47,0.326716168934267,1,1,9.18426826583673e-43
"Bst2",1.44912649594859e-46,0.476725579262796,0.99,0.981,2.04964451586969e-42
"Psap",1.14018529257281e-45,0.417834737306144,1,1,1.61267807781498e-41
"Tnfaip2",3.07038759996403e-44,0.521367434443807,0.999,0.997,4.34275622138912e-40
"Ctsb",2.05759566225267e-42,0.524538002506419,0.996,0.993,2.91026330469018e-38
"Cldn18",2.52609620867931e-38,0.433295579220887,0.995,0.954,3.57291047755602e-34
"Apoc1",1.5283012319103e-37,0.559021644291026,0.906,0.77,2.16162926241393e-33
"Txn1",3.07368458894767e-37,0.318205910538493,1,0.999,4.34741948260758e-33
"Ctsc",1.06577666124182e-36,0.382744753734258,0.997,0.992,1.50743450966043e-32
"Cd68",3.9145078402186e-35,0.475161596615626,0.961,0.893,5.53667988920518e-31
"Il1rn",6.02197872891038e-35,0.76519708494527,0.841,0.676,8.51748671417084e-31
"Sftpd",7.5521553282498e-35,0.460034545822732,0.99,0.948,1.06817684962765e-30
"Ctsz",4.22510064844574e-34,0.401196515594913,0.99,0.99,5.97598235716166e-30
"Slc7a2",8.33938843407711e-34,0.524194403287907,0.675,0.422,1.17952310011587e-29
"Cxcl16",9.25849757478581e-34,0.434195567951147,0.98,0.958,1.30952189697771e-29
"Cfb",1.12456582946664e-33,0.466780503265944,0.912,0.816,1.59058590919762e-29
"Sod2",3.67168416976535e-33,0.4209140872075,0.993,0.981,5.19323008971611e-29
"Ly6e",1.76695229310987e-32,0.312381964397391,1,1,2.4991773233746e-28
"Tapbp",5.2970508354332e-31,0.282461405621687,1,1,7.49214870163672e-27
"Cd274",3.31822868576922e-30,0.431766081737707,0.955,0.92,4.69330265315199e-26
"Inmt",7.73793185538913e-30,-0.730187851211722,0.573,0.729,1.09445308162624e-25
"Igfbp2",9.7214572158143e-30,-0.792868947936023,0.617,0.759,1.37500290860477e-25
"Clec4e",2.68513643335856e-29,0.332881050572104,0.396,0.17,3.79785697134235e-25
"Cyba",2.92693958445158e-29,0.323400665301239,0.999,0.998,4.13986334824831e-25
"Gsap",3.1608625506199e-29,0.335543503453047,0.997,0.986,4.47072399159679e-25
"Cybb",3.85033131201404e-29,0.408875268102364,0.986,0.975,5.44590860771265e-25
"Fcgr3",1.41471494998305e-28,0.415266026037025,0.618,0.38,2.00097282525602e-24
"Ctsd",1.65722210348172e-28,0.403377744408779,0.99,0.97,2.34397494316454e-24
"Lcn2",1.90358115440398e-28,0.484400415369022,0.917,0.804,2.69242518478899e-24
"Cd44",5.1727463301169e-28,0.32282193267088,0.997,0.994,7.31633240931734e-24
"Cebpb",2.3453552198574e-27,0.356450876617849,0.978,0.939,3.31727042296631e-23
"Ctsl",1.24074187209493e-26,0.45555225045614,0.975,0.959,1.75490530389106e-22
"Slpi",2.54930590561332e-26,0.366621387500414,0.987,0.959,3.60573827289948e-22
"Hmox1",2.72154751126415e-26,0.446376376253917,0.539,0.314,3.84935679993202e-22
"Slc11a1",3.93686182175854e-26,0.367882172370232,0.525,0.298,5.56829736069528e-22
"Dram1",7.76427752619892e-26,0.340231984929355,0.983,0.97,1.09817941330558e-21
"Cldn5",8.68213841454931e-26,-0.682771051032889,0.722,0.797,1.22800165735386e-21
"Fcgr4",9.31975372508114e-26,0.318121800278246,0.462,0.235,1.31818596687548e-21
"Chil1",1.55901076166464e-25,0.359686688721841,0.997,0.981,2.20506482129846e-21
"Fst",1.71791614358589e-25,0.335783746621909,0.387,0.179,2.42982059348788e-21
"Epas1",1.00948809489972e-24,-0.628857663603691,0.875,0.892,1.42781996142617e-20
"Rnf149",2.09832716312167e-24,0.382845246288201,0.861,0.721,2.96787393951929e-20
"Cyp4b1",4.19581535090187e-24,-0.531309529452005,0.614,0.747,5.93456123231561e-20
"Igtp",6.38759504224603e-24,0.379383577225495,0.932,0.862,9.03461442775278e-20
