"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Plxnb2",1.40994487489538e-06,-0.283440616495631,0.807,0.933,0.0199422603105203
"Prpf38b",1.43916437306061e-06,0.274562986500784,0.719,0.528,0.0203555408925692
"Sfta2",1.50002288856277e-06,-0.337618642741536,0.323,0.48,0.0212163237358318
"Paqr7",1.518993219247e-06,-0.35011947178246,0.38,0.512,0.0214846400930295
"Smim14",1.75367244515095e-06,0.285580670843537,0.828,0.665,0.024803943064215
"Epha2",1.76872953803418e-06,-0.352470857966293,0.37,0.503,0.0250169105859555
"Mdh1",1.78638256769303e-06,0.281925623131148,0.818,0.654,0.0252665950374501
"Heg1",1.9050156065037e-06,-0.393470960939628,0.406,0.538,0.0269445407383884
"Hba-a2",1.91443777628162e-06,-0.485779090641871,0.219,0.373,0.0270778079077272
"Klf2",1.93136344507228e-06,-0.37331852983055,0.495,0.607,0.0273172045671023
"Gbp6",1.98899494243483e-06,-0.293352785167994,0.729,0.844,0.0281323444657983
"Myo10",2.15522947835038e-06,-0.343494502046871,0.375,0.507,0.0304835657417878
"Plk2",2.30330746516782e-06,-0.338793832876093,0.38,0.52,0.0325779807873336
"Stk25",2.46773294384541e-06,-0.269737865144305,0.87,0.941,0.0349036147577495
"Spp1",2.4717294544809e-06,-0.422213961864405,0.349,0.488,0.0349601414041778
"Slc26a4",2.58992136383929e-06,-0.390373497573898,0.281,0.428,0.036631847770143
"Col3a1",2.67499205310639e-06,-0.257845262696335,0.87,0.972,0.0378350875991368
"Rnf149",2.71522899936497e-06,-0.328321255311532,0.719,0.782,0.0384041989670181
"Arhgef17",2.72529878678879e-06,-0.35715417166505,0.443,0.556,0.0385466260403406
"Srsf11",2.79521598180826e-06,0.272210130280976,0.927,0.884,0.039535534846696
"Ndufb5",3.01841836453944e-06,0.25628474543742,0.844,0.677,0.0426925093480459
"Foxf1",3.09415532077344e-06,-0.370833885009917,0.203,0.348,0.0437637328570196
"Cd68",3.10684464456312e-06,-0.321231506956278,0.802,0.932,0.0439432106527008
"Rgs12",3.30269257013536e-06,-0.390448446333711,0.51,0.59,0.0467132837119946
"Lamc2",3.49907412734638e-06,-0.348023207769246,0.318,0.455,0.0494909044571871
"Naaa",3.62708918857817e-06,0.302055478425715,0.885,0.872,0.0513015494832496
"Cystm1",3.87479848404394e-06,-0.347152183192901,0.323,0.462,0.0548051497583174
"Cdc42se2",3.95490565582087e-06,0.259477257196799,0.724,0.614,0.0559381855959303
"Ctsd",4.02416358476454e-06,-0.261582490574537,0.917,0.984,0.0569177697429097
"Tnfrsf12a",4.09966909215556e-06,-0.336691886890879,0.292,0.424,0.0579857196394483
"Got1",4.53567888785055e-06,0.260288045496159,0.698,0.503,0.0641526421897582
"Tmem252",4.75644330076168e-06,-0.324523150425879,0.203,0.347,0.0672751340459733
"Oplah",5.09548784026813e-06,-0.288139102779082,0.25,0.403,0.0720705800127524
"Nrcam",5.11231096934738e-06,-0.349246155182743,0.302,0.445,0.0723085263504494
"Pdzd2",5.89503280620246e-06,-0.362545573667043,0.26,0.394,0.0833793440109276
"Nes",5.95204284781267e-06,-0.32166891734925,0.203,0.348,0.0841856940394625
"Prex2",6.24798443730708e-06,-0.323041072872208,0.208,0.354,0.0883714918812713
"Ubl3",6.36889042104642e-06,-0.29367187461279,0.661,0.792,0.0900815861152805
"Agrn",6.54910001322334e-06,-0.313305013634733,0.292,0.438,0.092630470587031
"Hpcal1",6.95444102551645e-06,-0.287514940198315,0.724,0.807,0.0983636138649047
"Pon3",7.16016631430434e-06,-0.251061764167718,0.714,0.831,0.101273392349521
"Tmpo",7.33517661239137e-06,0.25577704975297,0.766,0.601,0.103748738005664
"Emc1",8.58636254560609e-06,-0.278701676961244,0.698,0.764,0.121445511845053
"Tmem37",9.39479185715101e-06,-0.295760438039616,0.229,0.378,0.132879936027544
"Tcf20",9.48252938136849e-06,0.269516696546127,0.828,0.711,0.134120895570076
"Pcdh1",1.10009149657216e-05,-0.339645563651723,0.167,0.3,0.155596941275166
"Clic3",1.1137014347945e-05,-0.329292169655245,0.297,0.425,0.157521930937333
"Mfap2",1.1960959961268e-05,-0.286005538636762,0.141,0.279,0.169175817692175
"Myo1c",1.22724044812194e-05,-0.253424302897504,0.948,0.978,0.173580888982367
"Tbx2",1.34577574992838e-05,-0.321992940280366,0.271,0.404,0.19034652206987
"Zfp219",1.35532204537083e-05,-0.299363582009822,0.49,0.59,0.19169675009725
"Lcp2",1.39725834759562e-05,0.254711582408506,0.76,0.601,0.197628220683925
"Osbpl5",1.41743385500162e-05,-0.324421385278117,0.432,0.538,0.20048184445143
"Scnn1b",1.45126717251534e-05,-0.34754031076073,0.365,0.48,0.20526722888057
"Efnb1",1.48270682020217e-05,-0.355055394450611,0.349,0.468,0.209714052649395
"Gbp3",1.57834224041677e-05,-0.293788840628512,0.844,0.941,0.223240726484548
"Lgals1",1.58883993058704e-05,-0.250446661836288,0.844,0.914,0.224725519782231
"Alas1",1.85654492753979e-05,-0.296320123827355,0.766,0.887,0.262589714551228
"Mical2",1.89213029419752e-05,-0.30908623967696,0.312,0.447,0.267622908811297
"Fmo1",1.92938683998418e-05,-0.327834735854084,0.281,0.413,0.272892474647362
"Grina",1.99567533805215e-05,-0.287557851369802,0.823,0.921,0.282268319814095
"Prickle2",1.99969994813022e-05,-0.303747686724327,0.203,0.34,0.282837560663538
"Retnla",2.1136305002228e-05,0.775820641164207,0.49,0.358,0.298951897951513
"Sox7",2.12663332390576e-05,-0.292434411114171,0.135,0.268,0.300791017333231
"Crim1",2.49057737626744e-05,-0.30432727476636,0.604,0.674,0.352267264099267
"Cdc42ep1",2.85905609486941e-05,-0.323254823131527,0.307,0.424,0.404384894058329
"Fblim1",2.92448521707099e-05,-0.281576981277075,0.208,0.343,0.413639189102521
"Sox18",2.9327897072311e-05,-0.343366766508313,0.286,0.406,0.414813776190767
"Macf1",3.01696731977535e-05,-0.30847959954743,0.797,0.858,0.426719857709026
"Myof",3.11163031057348e-05,-0.254036539169586,0.573,0.644,0.440108991127512
"Ankrd33b",3.14603514523874e-05,-0.392669686250389,0.37,0.471,0.444975210942567
"Pmp22",3.18700176483304e-05,-0.310207526058416,0.25,0.377,0.450769529617986
"Phactr1",3.25046039301772e-05,-0.27359382630383,0.156,0.285,0.459745117988426
"Dab2ip",3.42853233409506e-05,-0.31162124007736,0.339,0.458,0.484931613334406
"Cd151",3.53104294448971e-05,-0.288375658637926,0.365,0.484,0.499430714068625
"Vsig2",3.57582173818234e-05,-0.285473145546541,0.292,0.424,0.50576422664851
"Tspan2",3.8991634396159e-05,-0.275475093397307,0.255,0.391,0.551497676899273
"Ripor1",4.17746170965018e-05,-0.354369404247888,0.453,0.532,0.590860184212922
"Ntn1",4.39037949012296e-05,-0.309351784268756,0.271,0.391,0.620975275082992
"Pecam1",4.42789352736132e-05,-0.387497406556046,0.526,0.574,0.626281260509985
"Ccm2l",4.6065392431507e-05,-0.282322248190875,0.182,0.313,0.651548910551235
"Eps8l1",4.63770253307883e-05,-0.252071356077589,0.224,0.365,0.655956646278669
"Tnfaip2",4.92280978478119e-05,-0.370886373780138,0.995,0.998,0.696282215959451
"Lrrfip2",4.96253575742658e-05,-0.278231772418396,0.453,0.556,0.701901057530416
"Chpt1",5.01451244065562e-05,-0.315658785423552,0.453,0.54,0.709252639606332
"Gm13889",5.08946331246872e-05,-0.303853107677172,0.297,0.422,0.719853690915576
"Ctsk",5.11742371211728e-05,-0.316646702295348,0.297,0.422,0.723808409841869
"Jcad",5.15961448345663e-05,-0.285135233460376,0.208,0.338,0.729775872540106
"Flot2",5.58092428396414e-05,-0.27415411116206,0.573,0.669,0.789365930723887
"Ndnf",6.10753439416319e-05,-0.310342654147392,0.417,0.529,0.863849664710442
"Npnt",6.31180886019422e-05,-0.250724380391586,0.161,0.288,0.892742245185871
"Pxdc1",7.88184167870658e-05,-0.340818078996439,0.495,0.586,1
"Sema3f",8.75897745506874e-05,-0.264297174252583,0.188,0.312,1
"Fgfr3",9.04664646689389e-05,-0.30520684500005,0.276,0.395,1
"Notch4",9.88180340979626e-05,-0.340261833855215,0.427,0.512,1
"Rasl11a",9.97120332364142e-05,-0.277456095152044,0.302,0.429,1
"Llgl2",0.00010141159892143,-0.272136020942901,0.318,0.431,1
"Mxra7",0.000103237563728465,-0.372701270017793,0.448,0.508,1
"Tmtc1",0.000114416910230919,-0.280040831139484,0.271,0.39,1
"Cdkn2b",0.00012344812880289,-0.269095001131857,0.323,0.434,1
"Calu",0.000128900050674056,-0.27059519068055,0.62,0.679,1
"Inpp5a",0.000140124918457236,-0.32731594825629,0.401,0.492,1
"Trf",0.000140228696565775,0.262070373584634,0.625,0.815,1
"Bst2",0.000143098454176761,-0.26610456117214,0.948,0.988,1
"Rapgef5",0.000143755052890808,-0.279492231678088,0.411,0.513,1
"Cdc42ep4",0.000149521870545534,-0.301107171075994,0.417,0.505,1
"Clip4",0.000152423601994105,-0.285227807128288,0.359,0.462,1
"Serpinh1",0.000157564688305868,-0.276450150810017,0.562,0.621,1
"Mgll",0.00016471708123078,-0.297020934783634,0.38,0.472,1
"Rtl8b",0.00016822990487336,-0.328502299175671,0.448,0.515,1
"Amotl1",0.000171287659675171,-0.28466982112828,0.396,0.497,1
"Dock9",0.000178078794880196,-0.315278515605838,0.411,0.491,1
"Tinagl1",0.000184051750106884,-0.261709008367226,0.24,0.356,1
"Npr1",0.000193466542516842,-0.276676391185569,0.203,0.316,1
